No,No_Ruas,"Nama_Ruas_Jalan","Kec_Yang_Dilalui",Panjang_Ruas(Km),Lebar_Ruas(m),Aspal,Beton,Kerikil,Tanah,Baik(%),Baik(Km),Sedang(%),Sedang(Km),Rusak_Ringan(%),Rusak_Ringan(Km),Rusak_Berat(%),Rusak_Berat(Km)
21,34_021K,"JL. KADRIE OENING (SAMARINDA)","Samarinda",1.79,"7-12",0.73,1.07,0.00,0.00,0.00,0.00,83.80,1.50,16.20,0.29,0.00,0.00
22,34_022K,"Jl. R. SOEPRAPTO (SAMARINDA)","Samarinda",1.10,14,1.10,0.00,0.00,0.00,0.00,0.00,100.00,1.10,0.00,0.00,0.00,0.00
23,34_023K,"Jl. S. PARMAN (SAMARINDA)","Samarinda",1.10,"14-20",0.85,0.25,0.00,0.00,0.00,0.00,100.00,1.10,0.00,0.00,0.00,0.00
24,34_024K,"Jl. AHMAD YANI (SAMARINDA)","Samarinda",2.00,14,2.00,0.00,0.00,0.00,0.00,0.00,100.00,2.00,0.00,0.00,0.00,0.00
25,34_025K,"JL. D.I. PANDJAITAN II (SAMARINDA)","Samarinda",1.03,14,1.03,0.00,0.00,0.00,0.00,0.00,100.00,1.03,0.00,0.00,0.00,0.00
26,34_026,"SIMP. 3 RAPAK INDAH - SIMP. 4 M. SAID (RING ROAD I SAMARINDA)","Samarinda",2.05,14,2.05,0.00,0.00,0.00,65.85,1.35,34.15,0.70,0.00,0.00,0.00,0.00
27,34_027,"JL. NUSYIRWAN ISMAIL (RING ROAD II SAMARINDA)","Samarinda",5.66,14,2.81,2.85,0.00,0.00,0.00,0.00,91.17,5.16,8.83,0.50,0.00,0.00
28,34_028,"JL. HM. ARDANS (RINGROAD III SAMARINDA)","Samarinda",5.07,14,3.65,1.42,0.00,0.00,72.78,3.69,27.22,1.38,0.00,0.00,0.00,0.00
29,34_029K,"JL. KH. WAHID HASYIM II (SAMARINDA)","Samarinda",2.00,10,0.99,1.01,0.00,0.00,75.00,1.50,25.00,0.50,0.00,0.00,0.00,0.00
30,34_030,"JL. BATU BESAUNG (SAMARINDA)","Samarinda",20.90,"5-7",4.20,16.05,0.00,0.65,22.92,4.79,62.87,13.14,2.39,0.50,11.82,2.47
31,34_031,"BTS. SAMARINDA - SIMP. 4 SAMBERA","Kutai Kartanegara",12.59,"6-8",1.80,10.60,0.19,0.00,0.00,0.00,75.14,9.46,11.20,1.41,13.66,1.72
32,34_032,"SIMP. 4 SAMBERA - MUARA BADAK","Kutai Kartanegara",18.00,7,16.62,1.38,0.00,0.00,0.00,0.00,97.78,17.60,2.22,0.40,0.00,0.00
33,34_033,"MUARA BADAK - BTS. BONTANG","Kutai Kartanegara",52.77,"5-6",15.22,37.56,0.00,0.00,2.14,1.13,82.22,43.39,11.17,5.90,4.47,2.36
34,34_034K,"JL. LETJEN URIP SUMOHARJO (BONTANG)","Bontang",6.21,14,2.96,3.25,0.00,0.00,46.71,2.90,36.38,2.26,5.64,0.35,11.27,0.70
35,34_035K,"JL. MOH. ROEM (BONTANG)","Bontang",5.17,14,5.17,0.00,0.00,0.00,19.34,1.00,67.12,3.47,13.54,0.70,0.00,0.00
36,34_036K,"JL. IR. SOEKARNO HATTA (BONTANG)","Bontang",10.91,14,9.63,1.28,0.00,0.00,10.50,1.15,78.19,8.53,11.31,1.23,0.00,0.00
